ThreadID,WindowStartTime(s),0,1,2,3,4,5,6,7,8,9,10,11,12,13
1373,016,18731325952,0,15360,0,0,0,381881088,2413858304,78017774336,450083072,0,0,0,0,0
1373,116,25340520704,0,0,0,0,0,298282240,2335226112,71983236352,40078080,0,0,0,0,0
1373,216,17579731456,0,0,0,0,0,147577344,2845569536,79397470720,10011392,0,0,0,0,0
1373,316,22303395840,0,36352,0,0,0,180440576,2320558336,75154601472,59388928,0,0,0,0,0
1373,416,21847083264,0,16384,0,10113024,0,158449408,2616572416,75342747136,3079168,0,0,0,0,0
1373,516,18608983552,0,0,0,10114304,0,296128256,2655272448,78406217728,10063360,0,0,0,0,0
1373,616,21855725312,0,13824,0,0,0,255944960,2274987008,75606359040,0,0,0,0,0,0
1373,716,21155882496,0,0,0,0,0,367562752,2545553664,75895366144,30242048,0,0,0,0,0
1373,816,17058955520,0,6912,0,0,0,331038720,2795486464,79700452608,212727552,0,0,0,0,0
1373,916,20255324928,0,0,0,0,0,449771008,2670586368,76458119424,55403776,0,0,0,0,0
1373,1016,17564773632,0,49664,0,0,0,392332032,2505686272,79480449024,50360320,0,0,0,0,0
1373,1116,19865130240,0,12800,0,0,0,304172032,2655137792,77156050432,6507776,0,0,0,0,0
1373,1216,23482418688,0,0,0,0,0,88238336,1024664064,75402107648,0,0,0,0,0,0
1373,1316,28069183488,0,0,0,0,0,187283456,2451038720,69275665408,16024320,0,0,0,0,0
1373,1416,55465996032,0,0,0,8136192,0,1372759552,4108265472,39017708288,14507008,0,0,0,0,0
1373,1516,24643077120,0,0,0,0,0,85795584,4662041088,70561492992,28922880,0,0,0,0,0
1373,1616,20402243840,0,0,0,10058496,0,140365824,8616497152,70826788608,0,0,0,0,0,0
1373,1716,23866327808,0,0,0,0,0,123365120,1793830144,74251199744,20109824,0,59489280,0,0,0
1373,1816,17904149248,0,104448,0,0,0,234029568,1695757312,80207066112,0,0,0,0,0,0
1373,1916,4150997760,0,0,0,0,0,44573440,712369920,17941099008,10095872,0,0,0,0,0
1263,025,1170765824,0,15360,0,0,0,234891776,3251576320,95283014400,53437696,0,0,0,0,0
1263,125,7037115904,0,0,0,0,0,264352512,2914612224,89738563840,40078080,0,0,0,0,0
1263,225,390071808,0,36352,0,0,0,283309568,3268360192,96020403456,20446208,0,0,0,0,0
1263,325,3202498816,0,3072,0,0,0,303899648,3089697792,93317930240,79559424,0,0,0,0,0
1263,425,2654306304,0,16384,0,10113024,0,383766784,3073301504,93868770816,3079168,0,0,0,0,0
1263,525,4760966912,0,0,0,10114304,0,366866176,3327229952,91509005312,20131328,0,0,0,0,0
1263,625,3487254528,0,13824,0,0,0,266819072,3174564608,93023941120,40408064,0,0,0,0,0
1263,725,2372740608,0,82688,0,0,0,358017280,3290150144,93902532608,70423296,0,0,0,0,0
1263,825,5101032448,0,6912,0,0,0,335451904,3200840960,91325488640,31382528,0,0,0,0,0
1263,925,9082277632,0,31488,0,0,0,491287808,3071446272,87266551808,82190080,0,0,0,0,0
1263,1025,3393164032,0,193280,0,0,0,419339776,3026140928,93111227648,43022592,0,0,0,0,0
1263,1125,5430501888,0,12800,0,0,0,259388160,3264155904,91022072320,6507776,0,0,0,0,0
1263,1225,5180256768,0,0,0,0,0,205932800,897643520,93714347264,0,0,0,0,0,0
1263,1325,7534355200,0,0,0,0,0,24809947648,2392463104,65992214272,16076032,0,0,0,0,0
1263,1425,23523149312,0,11090176,0,8136192,0,152621824,5229587712,70287964416,20031232,0,0,0,0,0
1263,1525,10315586816,0,0,0,0,0,290716672,5910224896,83421932288,39047424,0,0,0,0,0
1263,1625,16242216192,0,0,0,10058496,0,306543360,8253287424,75154266880,30119168,0,0,0,0,0
1263,1725,6415693824,0,0,0,0,0,217760000,1760569088,91589668352,11276288,0,0,0,0,0
1263,1825,15616524544,0,127232,0,0,0,348873984,1998635776,82001541120,30134528,0,0,0,0,0
1263,1925,980276992,0,0,0,0,0,4622336,386583296,4802990592,0,0,0,0,0,0
20917,466,0,0,0,0,0,0,0,2163968,22019584,0,0,0,0,0,0
2530,015,3133256192,0,0,0,0,0,147210752,3953070848,92332663808,433433856,0,0,0,0,0
